"Rank|Id|Name of Smell|Name|File|Reason for Prioritization
---|---|---|---|---|---
1|3|Long File|gitmetrics.metrics.change_proneness|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|Huge file (357 LOC), low maintainability index (39.08) and high cyclomatic complexity (34) – high defect and propagation risk.
2|1|High Cyclomatic Complexity|gitmetrics.core.repository.GitRepository|get_lines_of_code|../projects/gitmetrics/gitmetrics/core/repository.py|Complexity 15, maintainability 46.23 – method is a hotspot for bugs and hard to test.
3|17|Long Method|calculate_change_proneness|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|144‑line method, complexity 34, low maintainability – high defect risk and hard to modify.
4|16|Long Method|calculate_change_frequency|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|98‑line method, complexity 34 – similar high risk as #3.
5|18|Long Method|calculate_error_proneness|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|134‑line method, complexity 34 – high defect risk.
6|20|Feature Envy|calculate_change_proneness|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|10 calls to external diff API – tight coupling increases defect risk.
7|21|Feature Envy|calculate_error_proneness|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|9 calls to file_bugs – external dependency raises maintenance cost.
8|15|Feature Envy|calculate_cohesion|../projects/gitmetrics/gitmetrics/metrics/coupling.py|4 os calls, complexity 42 – high defect risk from I/O coupling.
9|14|Feature Envy|calculate_semantic_coupling|../projects/gitmetrics/gitmetrics/metrics/coupling.py|8 os calls, complexity 42 – similar high risk.
10|13|Feature Envy|calculate_structural_coupling|../projects/gitmetrics/gitmetrics/metrics/coupling.py|7 commit calls, complexity 42 – tight coupling to commit API.
11|10|Long Method|calculate_structural_coupling|../projects/gitmetrics/gitmetrics/metrics/coupling.py|122‑line method, complexity 42 – high defect risk.
12|12|Long Method|calculate_cohesion|../projects/gitmetrics/gitmetrics/metrics/coupling.py|64‑line method, complexity 42 – high defect risk.
13|11|Long Method|calculate_semantic_coupling|../projects/gitmetrics/gitmetrics/metrics/coupling.py|151‑line method, complexity 42 – high defect risk.
14|19|Feature Envy|calculate_change_frequency|../projects/gitmetrics/gitmetrics/metrics/change_proneness.py|7 commit calls, complexity 34 – moderate defect risk.
15|2|Long File|gitmetrics.metrics.coupling|../projects/gitmetrics/gitmetrics/metrics/coupling.py|333 LOC, maintainability 40.87, complexity 42 – high propagation risk.
16|6|Long Method|calculate_co_change_matrix|../projects/gitmetrics/gitmetrics/metrics/co_change.py|60‑line method, complexity 15 – moderate risk.
17|7|Long Method|calculate_co_change_metrics|../projects/gitmetrics/gitmetrics/metrics/co_change.py|69‑line method, complexity 12 – moderate risk.
18|8|Feature Envy|get_changed_files|../projects/gitmetrics/gitmetrics/metrics/co_change.py|6 diff calls, complexity 12 – moderate risk.
19|9|Feature Envy|calculate_co_change_metrics|../projects/gitmetrics/gitmetrics/metrics/co_change.py|15 matrix calls, complexity 12 – moderate risk.
20|5|Feature Envy|main|../projects/gitmetrics/gitmetrics/cli.py|15 args calls, complexity 6.5 – moderate risk.
21|4|Feature Envy|parse_args|../projects/gitmetrics/gitmetrics/cli.py|5 parser calls, complexity 6.5 – moderate risk.
22|22|Feature Envy|setup_logging|../projects/gitmetrics/gitmetrics/utils/logger.py|5 root_logger calls, complexity 5 – low risk.
23|23|Feature Envy|get_logger|../projects/gitmetrics/gitmetrics/utils/logger.py|5 logging calls, complexity 4 – lowest risk."
